"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"6061",25841,2002,"Ubaque","Cundinamarca",3,1,1,1
"6062",25843,2002,"Villa De San Diego De Ubate","Cundinamarca",0,0,0,0
"6063",25845,2002,"Une","Cundinamarca",1,1,0,0
"6064",25851,2002,"Útica","Cundinamarca",3,1,1,1
"6065",25862,2002,"Vergara","Cundinamarca",3,1,1,1
"6066",25867,2002,"Vianí","Cundinamarca",3,1,1,1
"6067",25871,2002,"Villagómez","Cundinamarca",3,1,1,1
"6068",25873,2002,"Villapinzón","Cundinamarca",1,1,0,0
"6069",25875,2002,"Villeta","Cundinamarca",1,1,0,0
"6070",25878,2002,"Viotá","Cundinamarca",1,1,0,0
"6071",25885,2002,"Yacopí","Cundinamarca",3,1,1,1
"6072",25898,2002,"Zipacón","Cundinamarca",0,0,0,0
"6073",25899,2002,"Zipaquirá","Cundinamarca",1,1,0,0
"6074",27001,2002,"Quibdó","Chocó",2,0,1,0
"6075",27006,2002,"Acandí","Chocó",0,0,0,0
"6076",27025,2002,"Alto Baudo","Chocó",3,1,1,1
"6077",27050,2002,"Atrato","Chocó",0,0,0,0
"6078",27073,2002,"Bagadó","Chocó",3,1,1,1
"6079",27075,2002,"Bahía Solano","Chocó",3,1,1,1
"6080",27077,2002,"Bajo Baudó","Chocó",0,0,0,0
"6081",27099,2002,"Bojaya","Chocó",3,1,1,1
"6082",27135,2002,"El Cantón Del San Pablo","Chocó",0,0,0,0
"6083",27150,2002,"Carmen Del Darien","Chocó",3,1,1,1
"6084",27160,2002,"Cértegui","Chocó",0,0,0,0
"6085",27205,2002,"Condoto","Chocó",0,0,0,0
"6086",27245,2002,"El Carmen De Atrato","Chocó",2,0,1,0
"6087",27250,2002,"El Litoral Del San Juan","Chocó",0,0,0,0
"6088",27361,2002,"Istmina","Chocó",0,0,0,0
"6089",27372,2002,"Juradó","Chocó",0,0,0,0
"6090",27413,2002,"Lloró","Chocó",1,1,0,0
"6091",27425,2002,"Medio Atrato","Chocó",0,0,0,0
"6092",27430,2002,"Medio Baudó","Chocó",0,0,0,0
"6093",27450,2002,"Medio San Juan","Chocó",0,0,0,0
"6094",27491,2002,"Nóvita","Chocó",0,0,0,0
"6095",27495,2002,"Nuquí","Chocó",0,0,0,0
"6096",27580,2002,"Río Iro","Chocó",0,0,0,0
"6097",27600,2002,"Río Quito","Chocó",0,0,0,0
"6098",27615,2002,"Riosucio","Chocó",2,0,1,0
"6099",27660,2002,"San José Del Palmar","Chocó",1,1,0,0
"6100",27745,2002,"Sipí","Chocó",0,0,0,0
"6101",27787,2002,"Tadó","Chocó",3,1,1,1
"6102",27800,2002,"Unguía","Chocó",3,1,1,1
"6103",27810,2002,"Unión Panamericana","Chocó",0,0,0,0
"6104",41001,2002,"Neiva","Huila",1,1,0,0
"6105",41006,2002,"Acevedo","Huila",1,1,0,0
"6106",41013,2002,"Agrado","Huila",0,0,0,0
"6107",41016,2002,"Aipe","Huila",1,1,0,0
"6108",41020,2002,"Algeciras","Huila",1,1,0,0
"6109",41026,2002,"Altamira","Huila",1,1,0,0
"6110",41078,2002,"Baraya","Huila",1,1,0,0
"6111",41132,2002,"Campoalegre","Huila",1,1,0,0
"6112",41206,2002,"Colombia","Huila",1,1,0,0
"6113",41244,2002,"Elías","Huila",0,0,0,0
"6114",41298,2002,"Garzón","Huila",1,1,0,0
"6115",41306,2002,"Gigante","Huila",1,1,0,0
"6116",41319,2002,"Guadalupe","Huila",1,1,0,0
"6117",41349,2002,"Hobo","Huila",1,1,0,0
"6118",41357,2002,"Iquira","Huila",0,0,0,0
"6119",41359,2002,"Isnos","Huila",1,1,0,0
"6120",41378,2002,"La Argentina","Huila",1,1,0,0
"6121",41396,2002,"La Plata","Huila",1,1,0,0
"6122",41483,2002,"Nátaga","Huila",0,0,0,0
"6123",41503,2002,"Oporapa","Huila",1,1,0,0
"6124",41518,2002,"Paicol","Huila",0,0,0,0
"6125",41524,2002,"Palermo","Huila",1,1,0,0
"6126",41530,2002,"Palestina","Huila",0,0,0,0
"6127",41548,2002,"Pital","Huila",0,0,0,0
"6128",41551,2002,"Pitalito","Huila",3,1,1,1
"6129",41615,2002,"Rivera","Huila",3,1,1,1
"6130",41660,2002,"Saladoblanco","Huila",1,1,0,0
"6131",41668,2002,"San Agustín","Huila",1,1,0,0
"6132",41676,2002,"Santa María","Huila",1,1,0,0
"6133",41770,2002,"Suaza","Huila",1,1,0,0
"6134",41791,2002,"Tarqui","Huila",1,1,0,0
"6135",41797,2002,"Tesalia","Huila",1,1,0,0
"6136",41799,2002,"Tello","Huila",1,1,0,0
"6137",41801,2002,"Teruel","Huila",0,0,0,0
"6138",41807,2002,"Timaná","Huila",1,1,0,0
"6139",41872,2002,"Villavieja","Huila",1,1,0,0
"6140",41885,2002,"Yaguará","Huila",0,0,0,0
"6141",44001,2002,"Riohacha","La Guajira",2,0,1,0
"6142",44035,2002,"Albania","La Guajira",0,0,0,0
"6143",44078,2002,"Barrancas","La Guajira",0,0,0,0
"6144",44090,2002,"Dibulla","La Guajira",1,1,0,0
"6145",44098,2002,"Distracción","La Guajira",3,1,1,1
"6146",44110,2002,"El Molino","La Guajira",3,1,1,1
"6147",44279,2002,"Fonseca","La Guajira",3,1,1,1
"6148",44378,2002,"Hatonuevo","La Guajira",0,0,0,0
"6149",44420,2002,"La Jagua Del Pilar","La Guajira",1,1,0,0
"6150",44430,2002,"Maicao","La Guajira",2,0,1,0
"6151",44560,2002,"Manaure","La Guajira",3,1,1,1
"6152",44650,2002,"San Juan Del Cesar","La Guajira",3,1,1,1
"6153",44847,2002,"Uribia","La Guajira",2,0,1,0
"6154",44855,2002,"Urumita","La Guajira",3,1,1,1
"6155",44874,2002,"Villanueva","La Guajira",3,1,1,1
"6156",47001,2002,"Santa Marta","Magdalena",2,0,1,0
"6157",47030,2002,"Algarrobo","Magdalena",1,1,0,0
"6158",47053,2002,"Aracataca","Magdalena",3,1,1,1
"6159",47058,2002,"Ariguaní","Magdalena",3,1,1,1
