mun,year,FARC,ELN,AUC,Guerrilla,Paramilitaries
47318,1989,0,0,0,0,0
47460,1989,0,0,0,0,0
47541,1989,0,0,0,0,0
47545,1989,0,0,0,0,0
47551,1989,0,0,0,0,0
47555,1989,0,0,0,0,0
47570,1989,0,0,0,0,0
47605,1989,0,0,0,0,0
47660,1989,0,0,0,0,0
47675,1989,0,0,0,0,0
47692,1989,0,0,0,0,0
47703,1989,0,0,0,0,0
47707,1989,0,0,0,0,0
47720,1989,0,0,0,0,0
47745,1989,0,0,0,0,0
47798,1989,0,0,0,0,0
47960,1989,0,0,0,0,0
47980,1989,0,0,0,0,0
50001,1989,0,0,0,0,0
50006,1989,0,0,0,0,0
50110,1989,0,0,0,0,0
50124,1989,0,0,0,0,0
50150,1989,0,0,0,0,0
50223,1989,0,0,0,0,0
50226,1989,0,0,0,0,0
50245,1989,0,0,0,0,0
50251,1989,0,0,0,0,0
50270,1989,0,0,0,0,0
50287,1989,0,0,0,0,0
50313,1989,0,0,0,0,0
50318,1989,0,0,0,0,0
50325,1989,0,0,0,0,0
50330,1989,0,0,0,0,0
50350,1989,0,0,0,0,0
50370,1989,0,0,0,0,0
50400,1989,0,0,0,0,0
50450,1989,0,0,0,0,0
50568,1989,0,0,0,0,0
50573,1989,0,0,0,0,0
50577,1989,0,0,0,0,0
50590,1989,0,0,0,0,0
50606,1989,0,0,0,0,0
50680,1989,0,0,0,0,0
50683,1989,0,0,0,0,0
50686,1989,0,0,0,0,0
50689,1989,1,0,0,1,0
50711,1989,0,0,0,0,0
52001,1989,0,0,0,0,0
52019,1989,0,0,0,0,0
52022,1989,0,0,0,0,0
52036,1989,0,0,0,0,0
52051,1989,0,0,0,0,0
52079,1989,0,0,0,0,0
52083,1989,0,0,0,0,0
52110,1989,0,0,0,0,0
52203,1989,0,0,0,0,0
52207,1989,0,0,0,0,0
52210,1989,0,0,0,0,0
52215,1989,0,0,0,0,0
52224,1989,0,0,0,0,0
52227,1989,0,0,0,0,0
52233,1989,0,0,0,0,0
52240,1989,0,0,0,0,0
52250,1989,0,0,0,0,0
52254,1989,0,0,0,0,0
52256,1989,0,0,0,0,0
52258,1989,0,0,0,0,0
52260,1989,0,0,0,0,0
52287,1989,0,0,0,0,0
52317,1989,0,0,0,0,0
52320,1989,0,0,0,0,0
52323,1989,0,0,0,0,0
52352,1989,0,0,0,0,0
52354,1989,0,0,0,0,0
52356,1989,0,0,0,0,0
52378,1989,0,0,0,0,0
52381,1989,0,0,0,0,0
52385,1989,0,0,0,0,0
52390,1989,0,0,0,0,0
52399,1989,0,0,0,0,0
52405,1989,0,0,0,0,0
52411,1989,0,0,0,0,0
52418,1989,0,0,0,0,0
52427,1989,0,0,0,0,0
52435,1989,0,0,0,0,0
52473,1989,0,0,0,0,0
52480,1989,0,0,0,0,0
52490,1989,0,0,0,0,0
52506,1989,0,0,0,0,0
52520,1989,0,0,0,0,0
52540,1989,0,0,0,0,0
52560,1989,0,0,0,0,0
52565,1989,0,0,0,0,0
52573,1989,0,0,0,0,0
52585,1989,0,0,0,0,0
52612,1989,0,0,0,0,0
52621,1989,0,0,0,0,0
52678,1989,0,0,0,0,0
52683,1989,0,0,0,0,0
52685,1989,0,0,0,0,0
52687,1989,0,0,0,0,0
52693,1989,0,0,0,0,0
52694,1989,0,0,0,0,0
52696,1989,0,0,0,0,0
52699,1989,0,0,0,0,0
52720,1989,0,0,0,0,0
52786,1989,0,0,0,0,0
52788,1989,0,0,0,0,0
52835,1989,0,0,0,0,0
52838,1989,0,0,0,0,0
52885,1989,0,0,0,0,0
54001,1989,0,0,0,0,0
54003,1989,0,0,0,0,0
54051,1989,0,0,0,0,0
54099,1989,0,0,0,0,0
54109,1989,0,0,0,0,0
54125,1989,0,0,0,0,0
54128,1989,0,1,0,1,0
54172,1989,0,0,0,0,0
54174,1989,0,0,0,0,0
54206,1989,0,0,0,0,0
54223,1989,0,0,0,0,0
54239,1989,0,0,0,0,0
54245,1989,0,0,0,0,0
54250,1989,0,0,0,0,0
54261,1989,0,0,0,0,0
54313,1989,0,0,0,0,0
54344,1989,0,0,0,0,0
54347,1989,0,0,0,0,0
54377,1989,0,0,0,0,0
54385,1989,0,0,0,0,0
54398,1989,0,0,0,0,0
54405,1989,0,0,0,0,0
54418,1989,0,0,0,0,0
54480,1989,0,0,0,0,0
54498,1989,0,0,0,0,0
54518,1989,0,0,0,0,0
54520,1989,0,0,0,0,0
54553,1989,0,0,0,0,0
54599,1989,0,0,0,0,0
54660,1989,0,0,0,0,0
54670,1989,0,0,0,0,0
54673,1989,0,0,0,0,0
54680,1989,0,0,0,0,0
54720,1989,0,0,0,0,0
54743,1989,0,0,0,0,0
54800,1989,0,0,0,0,0
54810,1989,0,0,0,0,0
54820,1989,0,0,0,0,0
54871,1989,0,0,0,0,0
54874,1989,0,0,0,0,0
63001,1989,0,0,0,0,0
63111,1989,0,0,0,0,0
63130,1989,0,0,0,0,0
63190,1989,0,0,0,0,0
63212,1989,0,0,0,0,0
63272,1989,0,0,0,0,0
63302,1989,0,0,0,0,0
63401,1989,0,0,0,0,0
63470,1989,0,0,0,0,0
63548,1989,0,0,0,0,0
63594,1989,0,0,0,0,0
63690,1989,0,0,0,0,0
66001,1989,0,0,0,0,0
66045,1989,0,0,0,0,0
66075,1989,0,0,0,0,0
66088,1989,0,0,0,0,0
66170,1989,0,0,0,0,0
66318,1989,0,0,0,0,0
66383,1989,0,0,0,0,0
66400,1989,0,0,0,0,0
66440,1989,0,0,0,0,0
66456,1989,0,0,0,0,0
66572,1989,0,0,0,0,0
66594,1989,0,0,0,0,0
66682,1989,0,0,0,0,0
66687,1989,0,0,0,0,0
68001,1989,0,0,0,0,0
68001,1989,0,1,0,1,0
68013,1989,0,0,0,0,0
68020,1989,0,0,0,0,0
68051,1989,0,0,0,0,0
68077,1989,0,0,0,0,0
68079,1989,0,0,0,0,0
68081,1989,0,0,0,0,0
68092,1989,0,0,0,0,0
68101,1989,0,0,0,0,0
68121,1989,0,0,0,0,0
68132,1989,0,0,0,0,0
68147,1989,0,0,0,0,0
68152,1989,0,0,0,0,0
68160,1989,0,0,0,0,0
68162,1989,0,0,0,0,0
68167,1989,0,0,0,0,0
