"";"mun";"year";"Paramilitaries_VI";"Paramilitaries_CD";"Paramilitaries_CL";"Paramilitaries_IN";"Paramilitaries_RE";"Paramilitaries_UC";"Paramilitaries_All";"Guerrilla_VI";"Guerrilla_CD";"Guerrilla_CL";"Guerrilla_RE";"Guerrilla_UC";"Guerrilla_All";"FARC_VI";"FARC_CD";"FARC_RC";"FARC_RE";"FARC_UC";"FARC_All";"ELN_VI";"ELN_CD";"ELN_RC";"ELN_UC";"ELN_All";"AUC_VI";"AUC_CD";"AUC_RC";"AUC_RE";"AUC_UC";"AUC_All"
"152";5030;2015;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"153";5030;2016;0;1;NA;NA;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"154";5030;2017;0;1;NA;0;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"155";5030;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"156";5031;1988;0;NA;NA;NA;1;NA;1;0;NA;NA;1;NA;1;0;NA;NA;0;NA;0;0;NA;NA;NA;0;0;NA;NA;NA;NA;0
"157";5031;1989;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;0;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"158";5031;1990;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;0;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"159";5031;1991;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;0;1;0;1;0;NA;NA;0;0;0;NA;NA;NA;0;0
"160";5031;1992;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;NA;0;0;0;NA;NA;NA;0;0
"161";5031;1993;0;1;NA;NA;0;0;1;0;1;NA;1;0;1;0;0;NA;0;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
